lemma,part_of_speech,hyponyms
further,verb,carry;connive at;contribute;feed;foster;help;spur
fused,verb,absorb;accrete;admix;alloy;blend in;conjugate;gauge;melt;syncretize
future,noun,by-and-by;kingdom come;manana;offing;tomorrow|oil future;soybean future;wheat future
gaelic,noun,irish;manx;scottish gaelic
gallant,noun,coxcomb;macaroni
game,noun,athletic game;bowling;card game;child's game;curling;game of chance;pall-mall;parlor game;table game;zero-sum game|away game;cup tie;exhibition game;home game;nightcap;playoff game;twin bill|catch;computer game;ducks and drakes;guessing game;mind game;paper chase;party game;pinball;prisoner's base;ring-around-the-rosy;treasure hunt|big game;game bird|buffalo;rabbit;venison|conspiracy;counterplot;intrigue|puzzle
game,verb,ante;parlay
garbed,verb,coat;corset;costume;cover;frock;gown;habit;jacket;overdress;prim;shirt;shoe;underdress;vest;vesture
garbled,verb,mangle
garmented,verb,coat;corset;costume;cover;frock;gown;habit;jacket;overdress;prim;shirt;shoe;underdress;vest;vesture
gasified,verb,sublime
gathered,verb,birdnest;clam;club;hive;mobilize;muster;nest;nut;oyster;pearl;pick;pile up;rake;reap;round up;salvage;shock;snail;sponge|caucus;club;cluster;congregate;convene;converge;crowd;fort;group;hive;meet;turn out|accrete;backlog;drift|make|shell
gay,noun,gay man;lesbian
geared,verb,popularize
general,noun,blucher
generalised,verb,overgeneralize;universalize
generalized,verb,overgeneralize;universalize
generic,noun,generic drug
genitive,noun,attributive genitive
gentile,noun,idolater;paynim|shegetz
gentle,verb,baronetize;knight;lord
german,noun,bavarian;berliner;east german;kraut;prussian;teuton|middle high german;old high german;pennsylvania dutch;yiddish
germanic,noun,east germanic;old norse;proto-norse;scandinavian;west germanic
gesticulating,verb,applaud;beckon;bless;bow;clap;cross oneself;exsert;nod;shake;shrug;wink
giant,noun,argus;cyclops;giantess;jotun;mimir;ogre
gifted,verb,cover|bequeath;distribute;donate;endow;give away;grant;raffle;render;surrender;tender;tip;treat
ginger,noun,common ginger;galangal;lesser galangal;red ginger;shellflower
given,verb,award;deliver;infect|leave;open|accord;allow;bestow;concede;contribute;cough up;deposit;distribute;enfeoff;heap;lease;lend;offer;pay;present;provide;render;requite;spare;supply;support;vest|cast;quote|offer|bequeath;distribute;donate;endow;give away;grant;raffle;render;surrender;tender;tip;treat|convey|introduce;pacify|deal;entrust;entrust;give;hand over;release;slip|apply;rededicate;vow|administer;tread|dedicate|bottlefeed;breakfast;breastfeed;corn;crop;dine;fodder;force-feed;inject;lunch;nutrify;overfeed;range;regurgitate;scavenge;slop;spoonfeed;undernourish|combine|break;buckle;flop;implode;slump
giving,noun,accordance;alms-giving;bestowal;charity;contribution;endowment;oblation
giving,verb,award;deliver;infect|leave;open|accord;allow;bestow;concede;contribute;cough up;deposit;distribute;enfeoff;heap;lease;lend;offer;pay;present;provide;render;requite;spare;supply;support;vest|cast;quote|offer|bequeath;distribute;donate;endow;give away;grant;raffle;render;surrender;tender;tip;treat|convey|introduce;pacify|deal;entrust;entrust;give;hand over;release;slip|apply;rededicate;vow|administer;tread|dedicate|bottlefeed;breakfast;breastfeed;corn;crop;dine;fodder;force-feed;inject;lunch;nutrify;overfeed;range;regurgitate;scavenge;slop;spoonfeed;undernourish|combine|break;buckle;flop;implode;slump
gladdened,verb,overjoy
glaring,verb,beat
glassed,verb,double-glaze
glazed,verb,double-glaze
gleaming,verb,shimmer;spangle
glinting,verb,shimmer;spangle
glistening,verb,shimmer;spangle
glittering,verb,shimmer;spangle
glorified,verb,canonize;crack up;ensky;hymn
glowering,verb,scowl
glowing,noun,aureole
glowing,verb,fluoresce;flush|gutter
glued,verb,epoxy
go,verb,accompany;advance;angle;ascend;automobile;back;bang;beetle;betake oneself;billow;bounce;breeze;caravan;career;carry;circle;circle;circuit;circulate;come;come;crawl;cruise;derail;descend;do;drag;draw;drive;drive;ease;fall;fall;ferry;float;float;float;flock;fly;fly;follow;follow;forge;get around;ghost;glide;go around;hiss;hurtle;island hop;lance;lurch;outflank;pace;pan;pass;pass over;play;plow;prance;precede;precess;proceed;propagate;pursue;push;raft;repair;retreat;retrograde;return;ride;ride;ride;rise;roll;round;run;run;rush;scramble;seek;shuttle;sift;ski;slice into;slither;snowshoe;speed;steamer;step;step;step;stray;swap;swash;swim;swim;swing;taxi;trail;tram;transfer;travel;travel;travel;travel by;travel purposefully;travel rapidly;trundle;turn;walk;walk;weave;wend;wheel;whine;whish;whisk;whistle;withdraw;zigzag;zoom|steamroller;venture;work|shove off|break;run;settle;sober up;sober up;take;take effect;work|come;go far;radiate|do;drag|bang;bleep;blow;blow;boom;boom;buzz;chatter;chime;chug;clang;clangor;clank;click;clop;crack;crash;drone;drum;glug;guggle;gurgle;honk;hum;lap;make noise;patter;ping;pink;pop;rattle;resonate;resound;ring;ripple;roll;rumble;rustle;skirl;snap;snarl;splash;splat;squelch;tap;thud;tick;ting;tinkle;trump;twang;tweet;whish;whistle;whistle;whizz|cut;double;roll;run;service|live out;perennate;stand up|abort;buy it;drown;fall;predecease;starve;succumb;suffocate|get off the ground;go on|bluff;castle;check;draw;manoeuver;open;serve;stalemate;trump|joint;tessellate|blow out;crash;malfunction;misfire
goaded,verb,spur
going,noun,boarding;breaking away;disappearance;dispatch;exit;farewell;french leave;sailing;takeoff;withdrawal
going,verb,accompany;advance;angle;ascend;automobile;back;bang;beetle;betake oneself;billow;bounce;breeze;caravan;career;carry;circle;circle;circuit;circulate;come;come;crawl;cruise;derail;descend;do;drag;draw;drive;drive;ease;fall;fall;ferry;float;float;float;flock;fly;fly;follow;follow;forge;get around;ghost;glide;go around;hiss;hurtle;island hop;lance;lurch;outflank;pace;pan;pass;pass over;play;plow;prance;precede;precess;proceed;propagate;pursue;push;raft;repair;retreat;retrograde;return;ride;ride;ride;rise;roll;round;run;run;rush;scramble;seek;shuttle;sift;ski;slice into;slither;snowshoe;speed;steamer;step;step;step;stray;swap;swash;swim;swim;swing;taxi;trail;tram;transfer;travel;travel;travel;travel by;travel purposefully;travel rapidly;trundle;turn;walk;walk;weave;wend;wheel;whine;whish;whisk;whistle;withdraw;zigzag;zoom|steamroller;venture;work|shove off|break;run;settle;sober up;sober up;take;take effect;work|come;go far;radiate|do;drag|bang;bleep;blow;blow;boom;boom;buzz;chatter;chime;chug;clang;clangor;clank;click;clop;crack;crash;drone;drum;glug;guggle;gurgle;honk;hum;lap;make noise;patter;ping;pink;pop;rattle;resonate;resound;ring;ripple;roll;rumble;rustle;skirl;snap;snarl;splash;splat;squelch;tap;thud;tick;ting;tinkle;trump;twang;tweet;whish;whistle;whistle;whizz|cut;double;roll;run;service|live out;perennate;stand up|abort;buy it;drown;fall;predecease;starve;succumb;suffocate|get off the ground;go on|bluff;castle;check;draw;manoeuver;open;serve;stalemate;trump|joint;tessellate|blow out;crash;malfunction;misfire
gold,noun,24-karat gold;gold dust;green gold;guinea gold
gone,verb,accompany;advance;angle;ascend;automobile;back;bang;beetle;betake oneself;billow;bounce;breeze;caravan;career;carry;circle;circle;circuit;circulate;come;come;crawl;cruise;derail;descend;do;drag;draw;drive;drive;ease;fall;fall;ferry;float;float;float;flock;fly;fly;follow;follow;forge;get around;ghost;glide;go around;hiss;hurtle;island hop;lance;lurch;outflank;pace;pan;pass;pass over;play;plow;prance;precede;precess;proceed;propagate;pursue;push;raft;repair;retreat;retrograde;return;ride;ride;ride;rise;roll;round;run;run;rush;scramble;seek;shuttle;sift;ski;slice into;slither;snowshoe;speed;steamer;step;step;step;stray;swap;swash;swim;swim;swing;taxi;trail;tram;transfer;travel;travel;travel;travel by;travel purposefully;travel rapidly;trundle;turn;walk;walk;weave;wend;wheel;whine;whish;whisk;whistle;withdraw;zigzag;zoom|steamroller;venture;work|shove off|break;run;settle;sober up;sober up;take;take effect;work|come;go far;radiate|do;drag|bang;bleep;blow;blow;boom;boom;buzz;chatter;chime;chug;clang;clangor;clank;click;clop;crack;crash;drone;drum;glug;guggle;gurgle;honk;hum;lap;make noise;patter;ping;pink;pop;rattle;resonate;resound;ring;ripple;roll;rumble;rustle;skirl;snap;snarl;splash;splat;squelch;tap;thud;tick;ting;tinkle;trump;twang;tweet;whish;whistle;whistle;whizz|cut;double;roll;run;service|live out;perennate;stand up|abort;buy it;drown;fall;predecease;starve;succumb;suffocate|get off the ground;go on|bluff;castle;check;draw;manoeuver;open;serve;stalemate;trump|joint;tessellate|blow out;crash;malfunction;misfire
good,noun,common good|beneficence;benignity;kindness;saintliness;summum bonum;virtue;virtue|benefit;better;better;desirability;optimum;wisdom;worthiness|basic;consumer goods;drygoods;entrant;export;fancy goods;fungible;future;import;merchandise;middling;salvage;shopping;sporting goods;worldly possession
gothic,noun,perpendicular
governing,noun,legislation;misgovernment;trust busting
governing,verb,standardize;zone|dictate;misgovern;reign;throne
graded,verb,downgrade;prioritize;reorder;seed;sequence;shortlist;subordinate;superordinate;upgrade|aggrade
graduate,noun,ivy leaguer;old boy|graduated cylinder
grand,noun,millenary|baby grand;concert grand
granted,verb,allowance;vouchsafe|pension|forgive|enfranchise;give
grasping,noun,clasp
grasping,verb,clasp;cling;latch on|catch on;digest;figure;intuit
gratified,verb,content;please;please|humor;sow one's oats;spree
gratifying,verb,content;please;please|humor;sow one's oats;spree
grating,noun,grille|echelon
grating,verb,chew;gnash|paw
grave,noun,burial chamber;mastaba
grave,verb,character
graven,verb,character
gray,noun,ash grey;charcoal;dapple-grey;iron-grey;iron blue;tattletale grey|confederate army
grazed,verb,drift;grass|shave
greek,noun,ancient greek;koine;late greek;medieval greek;modern greek|achaean;aeolian;arcadian;argive;athenian;corinthian;dorian;ephesian;ionian;laconian;lesbian;mycenaen;spartan;theban;thessalian;thessalonian
green,noun,bluish green;bottle green;chrome green;emerald;greenishness;jade green;olive green;sage green;sea green;yellow green|amusement park;village green|beet green;chard;chop-suey greens;dandelion green;french sorrel;lamb's-quarter;salad green;sorrel;spinach;sprout;turnip greens;wild spinach
greenhouse,noun,conservatory;orangery
grey,noun,confederate army|ash grey;charcoal;dapple-grey;iron-grey;iron blue;tattletale grey
grieving,verb,feel for;mourn
grilled,verb,barbeque;broil;hibachi
gripping,verb,bite;pinch
groomed,verb,qualify|barber;clean up;cleanse;comb;doll up;dress;make up;manicure;mousse;pedicure;perfume;pomade;shave;spruce up
grooved,verb,dado;mill
gross,noun,box office;gate
grouped,verb,batch;bracket;collocate;regroup|brigade;embed;gang;pool;team
growing,noun,amelogenesis;angiogenesis;apposition;auxesis;blossoming;cenogenesis;cohesion;cultivation;culture;cytogenesis;foliation;fructification;gametogenesis;germination;habit;infructescence;intussusception;juvenescence;life cycle;masculinization;morphogenesis;myelinization;neurogenesis;palingenesis;proliferation;psychogenesis;psychogenesis;psychomotor development;psychosexual development;rooting;suppression;teething;teratogenesis;vegetation|epitaxy
growing,verb,bald;turn|augment;boom;burgeon;develop;enlarge;expand;expand;hypertrophy;lengthen;mushroom;overgrow;proliferate;ramify;rise;rise;root;stretch;vegetate|ankylose;cut;exfoliate;shoot;twin;undergrow;vegetate;vegetate|culture;germinate;root;rotate;swell;vegetate|find oneself;grow up;ripen|come;come forth;head;resurge;well up|carry;keep;overproduce|cut;fledge;leaf;pod;pupate;regrow;spring;sprout;stool;teethe;work up|make;outgrow
grown,verb,bald;turn|augment;boom;burgeon;develop;enlarge;expand;expand;hypertrophy;lengthen;mushroom;overgrow;proliferate;ramify;rise;rise;root;stretch;vegetate|ankylose;cut;exfoliate;shoot;twin;undergrow;vegetate;vegetate|culture;germinate;root;rotate;swell;vegetate|find oneself;grow up;ripen|come;come forth;head;resurge;well up|carry;keep;overproduce|cut;fledge;leaf;pod;pupate;regrow;spring;sprout;stool;teethe;work up|make;outgrow
grownup,noun,brachycephalic;caregiver;catch;centrist;character;conservative;dolichocephalic;elder;ex-spouse;host;important person;jack of all trades;liberal;liberal;man;militarist;oldster;pacifist;patrician;pledgee;pledger;professional;sobersides;sophisticate;stay-at-home;stoic;thoroughbred;woman
guarded,verb,baby-sit;baby-sit;patrol;stand guard|shepherd
guided,verb,channel;conn;corner;crab;dock;helm;navigate;navigate;park;pull over;sheer;stand out;starboard|beacon;hand;mislead;usher|rub;thread;thread
guiding,verb,channel;conn;corner;crab;dock;helm;navigate;navigate;park;pull over;sheer;stand out;starboard|beacon;hand;mislead;usher|rub;thread;thread
gushing,verb,blow;pump;whoosh
hale,verb,bludgeon;bring oneself;dragoon;drive;squeeze for;steamroller;terrorize;turn up the heat|bowse
half,noun,fifty percent;moiety|first half;second half
hallowed,verb,reconsecrate
halt,noun,countercheck;logjam|cessation;stand
halt,verb,brake;check;check;check;draw up;go off;pull up short;rein;settle;stall;stall|embargo;stay
halting,verb,brake;check;check;check;draw up;go off;pull up short;rein;settle;stall;stall|embargo;stay
hammered,verb,sledgehammer|dropforge;foliate
handed,verb,deal;entrust;entrust;give;hand over;release;slip
handicapped,noun,the halt
handicapped,verb,hock
handled,verb,administer;come to grips;conduct;coordinate;direct;dispose of;juggle;mismanage;organize;process;take care;touch;work|brutalize;criminalize;do well by;gloss over;handle with kid gloves;ignore;mistreat;mock;nurse;pamper;ride roughshod;rough-house;strong-arm;upstage;wrong|discourse;theologize|field;fumble;manhandle;manipulate|ply;pump;swing
handless,noun,ax handle;broomstick;crop;haft;hilt;hoe handle;knob;mop handle;panhandle;pommel;pommel;rake handle;stock;stock
handless,verb,administer;come to grips;conduct;coordinate;direct;dispose of;juggle;mismanage;organize;process;take care;touch;work|brutalize;criminalize;do well by;gloss over;handle with kid gloves;ignore;mistreat;mock;nurse;pamper;ride roughshod;rough-house;strong-arm;upstage;wrong|discourse;theologize|field;fumble;manhandle;manipulate|ply;pump;swing
harassed,verb,haze;needle;torment
hardened,verb,calcify;callus;cure;encrust|anneal;callus;face-harden|callous;steel oneself against
harmonic,noun,fundamental;overtone
harmonised,verb,blend|realize;reharmonize|accommodate;proportion|key|key
harmonized,verb,blend|realize;reharmonize|accommodate;proportion|key|key
harnessed,verb,inspan
harried,verb,haze;needle;torment
harum-scarum,noun,tearaway
hatched,verb,fabricate;idealize
hated,verb,abhor;contemn|bonnet
hatted,verb,bonnet
haunted,verb,hang out
haunting,verb,hang out
hawaiian,noun,native hawaiian
hazel,noun,american hazel;beaked hazelnut;cobnut
headed,verb,take|captain;chair;spearhead;take hold|draw away|channel;conn;corner;crab;dock;helm;navigate;navigate;park;pull over;sheer;stand out;starboard|crown;surmount
healed,verb,granulate;scab;skin over|recuperate
healing,noun,convalescence;union
healing,verb,granulate;scab;skin over|recuperate
heard,verb,catch;catch|ascertain;discover;get the goods;trip up;wise up|rehear|incline
hearing,noun,administrative hearing;competence hearing;fair hearing;quo warranto|auscultation;relistening|confirmation hearing|absolute pitch;ear
hearing,verb,catch;catch|ascertain;discover;get the goods;trip up;wise up|rehear|incline
heartening,verb,take heart
heated,verb,broil;calcine;crispen;overheat;preheat;reheat;scald;sear;soak|steam-heat|ferment|fry;overheat
heathen,noun,idolater;paynim
hebrew,noun,modern hebrew|ashkenazi;conservative jew;essene;jewess;kike;levite;orthodox jew;pharisee;reform jew;sadducee;sephardi;wandering jew;zealot;zionist
hedged,verb,beg;quibble
heightening,verb,potentiate|subtilize|amplify;enhance;fan;heat up;sharpen;sharpen
held,verb,conserve;continue;distance;hold over;housekeep;preserve;pressurize|clinch;cling to;cradle;cradle;grasp;lock;trap|bear;carry;keep;keep;keep;keep;monopolize;stock;sustain;wield|enchain;fetter;ground;impound;pen up;pinion;pound;tie down|hold down|block;brace;bracket;buoy;carry;chock;pole;prop up;scaffold;truss;underpin|enclose;retain|house;seat;sleep|behave;piggyback;poise;sling;stoop|keep open|article;indenture;pledge;tie down|weather|bate;catch;countercheck;damp;deny;mortify;restrict;restrict;suppress;thermostat;train|admit;bastardize;beatify;call;cancel;canonize;certify;formalize;pronounce;superannuate|arrange;concede;conclude;reconcile;see eye to eye;settle;subscribe
hellenic,noun,ancient greek;koine;late greek;medieval greek;modern greek
helminthic,noun,gentian violet;mebendazole;piperazine;quinacrine;tetrachlorethylene;thiabendazole
hepatic,noun,hepatica;hornwort;leafy liverwort
herbal,noun,tisane
hesitating,verb,boggle;dwell on;falter;hover;hover|hem and haw;scruple
heterocyclic,noun,chelate
heterosexual,noun,fucker
heuristic,noun,lateral thinking
hewn,verb,rough-hew|snag
hex,verb,spell;voodoo
hexed,verb,spell;voodoo
hi-fi,noun,headroom
hidden,verb,bosom;bury;cover;cover;disguise;harbor;lurk;obscure;obstruct;secrete;sweep under the rug;veil|earth;hole up;hunker down;lie low;lie low;stow away|mystify
hieratic,noun,demotic
hieroglyphic,noun,hieratic
high,noun,overdrive
highland,noun,down;tableland
hind,noun,rock hind
hinder,verb,hobble;inhibit;interfere;obstruct;set back;stunt|bottleneck;check;filibuster;hang;stonewall
hindering,verb,hobble;inhibit;interfere;obstruct;set back;stunt|bottleneck;check;filibuster;hang;stonewall
hindi,noun,hindustani
hindoo,noun,brahman;kshatriya;rajput;shudra;vaisya|chela;hare krishna;sadhu;sannyasi;shaktist;shivaist;swami;vaishnava
hindu,noun,brahman;kshatriya;rajput;shudra;vaisya|chela;hare krishna;sadhu;sannyasi;shaktist;shivaist;swami;vaishnava
hindustani,noun,brahman;kshatriya;rajput;shudra;vaisya
hired,verb,engage;featherbed;fill;rat;ship;sign;subcontract
hispanic,noun,criollo
hollow,noun,dell|burrow;gopher hole;kettle hole;pit;pothole;rabbit burrow;wormhole
hollow,verb,drive;trench|cave;cavern;core;dig;excavate;hole;rout;scallop;scoop out;suck in
home,noun,home away from home|cliff dwelling;condominium;fixer-upper;hearth;hermitage;homestead;house;lake dwelling;lodge;messuage;semi-detached house;vacation home;yurt|broken home;extended family;foster family;foster home;menage a trois;nuclear family
homeless,noun,bag lady
homespun,noun,russet
hominid,noun,australopithecine;dryopithecine;homo;javanthropus;pithecanthropus;sinanthropus;sivapithecus
homophile,noun,gay man;lesbian
homosexual,noun,gay man;lesbian
honored,verb,decorate;ennoble;toast|lionize;tolerate
hooked,verb,extort|seize
horrified,verb,shock
horrifying,verb,shock
howling,verb,squall|thunder;vroom;yawp
human,noun,homo erectus;homo habilis;homo sapiens;homo soloensis;neandertal man;rhodesian man;world
humanist,noun,classicist;man of letters;philologist
humble,verb,efface|crush;take down
humbled,verb,efface|crush;take down
humbling,verb,efface|crush;take down
humiliated,verb,crush;take down
humiliating,verb,crush;take down
humped,verb,fornicate;take
hunted,verb,course;drive;drive;falcon;ferret;fowl;fowl;foxhunt;hawk;jacklight;poach;rabbit;scrounge;seal;snipe;still-hunt;turtle;whale|ferret
hurried,verb,flit;run;zoom
hurrying,noun,acceleration;deceleration;scud
hurrying,verb,flit;run;zoom
hurt,noun,birth trauma;blast trauma;bleeding;blunt trauma;brain damage;bruise;bump;burn;dislocation;electric shock;fracture;frostbite;intravasation;penetrating trauma;pinch;rupture;sting;strain;wale;whiplash;wound;wrench|anguish;self-torture;tsoris;wound|agony;discomfort;throes|expense|burn;defacement;defloration;impairment;wound
hurt,verb,act up;bite;burn;hunger;itch;shoot;thirst;throb|disagree with;injure;trouble|agonize;break someone's heart;torment;try|diss;humiliate;lacerate;sting|catch;kill;prick;twinge|ail;gag;have;starve
hushed,verb,gag;lull;shout down;shush
hyaline,noun,keratohyalin
hybrid,noun,dihybrid;monohybrid
hydrated,verb,slack
hypnotic,noun,narcoleptic;sleeping pill
hypnotised,verb,entrance
hypnotized,verb,entrance
hypodermic,noun,autoinjector
i,noun,iodine-125;iodine-131|monad;singleton
ideal,noun,criterion;ego ideal;exemplar;paragon;value|class act;humdinger;jimdandy
idealised,verb,deify;romanticize
idealized,verb,deify;romanticize
identified,verb,distinguish|announce;enumerate;number|mistake;taste;type
idle,verb,bum;daydream;lie about;moon;ride the bench
idolised,verb,drool over
idolized,verb,drool over
ignited,verb,flare up;kindle;light up;light up;reignite|blow out;catch;light up|ferment
ignored,verb,discredit;disoblige;laugh off;pass off;scoff;shrug off;slight;turn a blind eye|pass up|pretermit
ii,noun,couple;craps
ill,noun,motion sickness;pip
ill-treated,verb,kick around
ill-used,verb,kick around
illiterate,noun,analphabet;functional illiterate
illuminated,verb,floodlight;spotlight|miniate
illuminating,verb,floodlight;spotlight|miniate
imaginary,noun,complex conjugate;pure imaginary number;real number
imbecile,noun,mongoloid
imitation,noun,mimesis|counterfeit;fake|echo;emulation;mimicry|mock-heroic;parody
immortal,noun,anglo-saxon deity;celtic deity;chinese deity;daemon;demiurge;earth-god;egyptian deity;goddess;greco-roman deity;greek deity;hindu deity;japanese deity;norse deity;persian deity;phrygian deity;roman deity;saint;sea god;semitic deity;sun god;teutonic deity;war god;zombi
immovable,noun,estate;land;mortmain
immune,noun,carrier
immunosuppressive,noun,mercaptopurine;methotrexate
impacted,verb,hit;hydrolize;influence;process;queer;redound;repercuss;slam-dunk;stimulate;strike a blow;subject;tell on;tinge;trouble
impaired,verb,deface;defile
impeded,verb,hobble;inhibit;interfere;obstruct;set back;stunt|barricade;barricade;barricade;blockade;clog;dam;land up;screen;suffocate;tie up
impeding,verb,hobble;inhibit;interfere;obstruct;set back;stunt|barricade;barricade;barricade;blockade;clog;dam;land up;screen;suffocate;tie up
impelled,verb,carry;catapult;drive;flip;hit;kick;launch;loft;project;punt;rocket;throw
impelling,verb,carry;catapult;drive;flip;hit;kick;launch;loft;project;punt;rocket;throw
imperfect,noun,future progressive;past progressive;present progressive
implanted,verb,bury;nest;pot
implemented,verb,execute;run|adhere
imploring,verb,crave;importune;supplicate
imponderable,noun,leaven
imported,verb,smuggle
imposed,verb,clamp;foist;give;intrude;order|distrain;lay;mulct;reimpose;tax;tithe;toll
imposing,verb,clamp;foist;give;intrude;order|distrain;lay;mulct;reimpose;tax;tithe;toll
impoverished,verb,bankrupt;beggar;reduce|disestablish
impressed,verb,alienate;awaken;cloud;disturb;engrave;hit home;impress;impress;infect;jar;move;pierce;sadden;smite;strike dumb;surprise;sweep away;touch;zap|prepossess;wow|emboss;stamp|boldface;cyclostyle;italicize;letter;offset;overprint;prove;typeset
improved,verb,advance;build;build up;condition;educate;emend;enhance;enrich;fancify;fructify;help;help;iron out;perfect;polish;purify;raise;reform;reform;regenerate;relieve;repair;turn around;upgrade;upgrade|fructify;get well;heal;mend;recuperate;reform;surge;turn around;upgrade
improving,verb,advance;build;build up;condition;educate;emend;enhance;enrich;fancify;fructify;help;help;iron out;perfect;polish;purify;raise;reform;reform;regenerate;relieve;repair;turn around;upgrade;upgrade|fructify;get well;heal;mend;recuperate;reform;surge;turn around;upgrade
incapacitated,verb,lay up;nobble;pinion;restrain|hock
incapacitating,verb,lay up;nobble;pinion;restrain|hock
incased,verb,box;crate;pack;sack
incendiary,noun,barnburner
incident,noun,cause celebre;infection;scene;sideshow
incised,verb,girdle;groove;notch;scratch;slit;worry
inclined,verb,gravitate;suffer;take kindly to|ascend;climb;dip;fall;stoop|predispose
included,verb,embrace;hold;incorporate;inhere in;involve;subsume|carry;count;subsume|initiate;involve;readmit
incoming,noun,admission;entree;incursion;intrusion;irruption;penetration;registration
incompetent,noun,bungler;slouch
incorporate,verb,build in;fold;re-incorporate;reintegrate
incorporated,verb,build in;fold;re-incorporate;reintegrate
increased,verb,accrue;accumulate;add;add to;appreciate;broaden;crescendo;explode;gain;grow;intensify;intensify;pullulate;pyramid;shoot up;snowball;spike;swell;wax;wax;widen|augment;blow up;boost;boost;build up;build up;enlarge;escalate;extend;heighten;heighten;inflate;kite;lengthen;maximize;multiply;raise;regenerate;rev up;rev up;up;widen
increasing,verb,accrue;accumulate;add;add to;appreciate;broaden;crescendo;explode;gain;grow;intensify;intensify;pullulate;pyramid;shoot up;snowball;spike;swell;wax;wax;widen|augment;blow up;boost;boost;build up;build up;enlarge;escalate;extend;heighten;heighten;inflate;kite;lengthen;maximize;multiply;raise;regenerate;rev up;rev up;up;widen
incriminating,verb,arraign;charge;recriminate;reproach
incumbent,noun,office-bearer
indian,noun,aleut;algonquian;anasazi;athapaskan;chickasaw;coeur d'alene;creek;eskimo;haida;hokan;iroquois;mayan;muskhogean;nahuatl;olmec;paleo-american;penutian;plains indian;pueblo;redskin;salish;sannup;shoshone;squaw;taracahitian;tlingit;wakashan;zapotec|assamese;dravidian;gujarati;gypsy;jawan;kashmiri;maratha;oriya;punjabi|algonquian;arawak;atakapa;athapaskan;caddo;carib;hokan;iroquoian;maraco;maya;mosan;muskhogean;na-dene;penutian;quechua;siouan;tanoan;tupi-guarani;uto-aztecan
indigo,noun,anil
indisposed,verb,constipate;hurt;tire
