lemma,part_of_speech,hyponyms
adjective,noun,comparative;descriptive adjective;positive;relational adjective;superlative
adjunct,noun,complement|parenthetical expression
adjusted,verb,align;attune;calibrate;citify;depressurize;focus;harmonize;justify;linearize;match;modulate;plumb;pressurize;proportion;readjust;regulate;set;synchronize;temper;time;time;trim;tune;tune;zero;zero|address;collimate;concenter;realign;synchronize;true|acclimatize;assimilate;focus;match;obey;readapt;readjust;square
admired,verb,envy
adolescent,noun,chebab;mod;pachuco;punk rocker;rocker;young buck
adopted,verb,adhere|resume|re-assume|take up
adored,verb,fetishize;idolize
adoring,verb,fetishize;idolize
adorned,verb,applique;bead;bedizen;bejewel;braid;caparison;color;deck;dress ship;emblazon;embroider;enamel;encrust;festoon;fillet;flag;fledge;foliate;fret;fringe;garland;gild;gild the lily;hang;illuminate;illustrate;inlay;lacquer;landscape;panel;pipe;prank;redecorate;scallop;smock;spangle;stick;stucco;tart up;tinsel;trim;trim;vermiculate;wreathe|ornament
adrenergic,noun,phenylephrine;phenylpropanolamine
adult,noun,brachycephalic;caregiver;catch;centrist;character;conservative;dolichocephalic;elder;ex-spouse;host;important person;jack of all trades;liberal;liberal;man;militarist;oldster;pacifist;patrician;pledgee;pledger;professional;sobersides;sophisticate;stay-at-home;stoic;thoroughbred;woman
adulterate,verb,sophisticate;water down
adulterated,verb,sophisticate;water down
adulterating,verb,sophisticate;water down
advance,noun,headway|adjustment;conservation;recovery;refinement;revival|career;leapfrog;march;plain sailing;push
advance,verb,close in;creep up;edge;elapse;encroach;forge;pass;penetrate;press on;ratchet;string|carry;connive at;contribute;feed;foster;help;spur|nose|score;steal|climb;leapfrog|brevet;bring up;ennoble;prefer;spot promote;tenure
advanced,verb,close in;creep up;edge;elapse;encroach;forge;pass;penetrate;press on;ratchet;string|carry;connive at;contribute;feed;foster;help;spur|nose|score;steal|climb;leapfrog|brevet;bring up;ennoble;prefer;spot promote;tenure
advancing,verb,close in;creep up;edge;elapse;encroach;forge;pass;penetrate;press on;ratchet;string|carry;connive at;contribute;feed;foster;help;spur|nose|score;steal|climb;leapfrog|brevet;bring up;ennoble;prefer;spot promote;tenure
advertised,verb,ballyhoo;headline|bill;crusade;plug;propagandize
advised,verb,consult;contraindicate;dissuade;misadvise;propound;tip off;urge;warn|advance;feed back;move;proposition;recommend;submit
aerial,noun,flare pass;screen pass|dipole;directional antenna;omnidirectional antenna
affected,verb,hit;hydrolize;influence;process;queer;redound;repercuss;slam-dunk;stimulate;strike a blow;subject;tell on;tinge;trouble|attack;cramp;intoxicate;jaundice;register;relax;sedate;stimulate;tense;ulcerate|implicate|mouth;play possum;take a dive;talk through one's hat|alienate;awaken;cloud;disturb;engrave;hit home;impress;impress;infect;jar;move;pierce;sadden;smite;strike dumb;surprise;sweep away;touch;zap
affecting,verb,hit;hydrolize;influence;process;queer;redound;repercuss;slam-dunk;stimulate;strike a blow;subject;tell on;tinge;trouble|attack;cramp;intoxicate;jaundice;register;relax;sedate;stimulate;tense;ulcerate|implicate|mouth;play possum;take a dive;talk through one's hat|alienate;awaken;cloud;disturb;engrave;hit home;impress;impress;infect;jar;move;pierce;sadden;smite;strike dumb;surprise;sweep away;touch;zap
afferent,noun,dorsal root;lemniscus
affiliated,verb,ally;company;go steady
affirmative,noun,double negative;yea;yes
affixed,verb,plaster;post;seal;stamp|annex|infix;prefix;suffix
afflicted,verb,grieve;tribulate;try|blight;visit
afghan,noun,kafir;pathan
afghanistani,noun,kafir;pathan
african,noun,algerian;angolan;bantu;basotho;beninese;berber;black african;burundian;cameroonian;carthaginian;chadian;chewa;congolese;djiboutian;egyptian;ethiopian;eurafrican;ewe;fulani;gabonese;gambian;ghanian;guinean;kenyan;liberian;libyan;madagascan;malawian;malian;mauritanian;moroccan;mozambican;namibian;nigerian;nigerien;rwandan;senegalese;sierra leonean;somalian;south african;sudanese;swazi;tanzanian;togolese;tuareg;tunisian;ugandan;xhosa;zairese;zambian;zimbabwean;zulu
aged,verb,dote;fossilize;turn
ageing,noun,mellowing|catabiosis
ageing,verb,dote;fossilize;turn
agglomerate,noun,compost heap;dunghill;pyre;scrapheap;shock;slagheap;stack;stockpile;woodpile
agglutinate,verb,haemagglutinate
aggravated,verb,degrade;inflame;irritate
aggravating,verb,degrade;inflame;irritate
aggregate,verb,unitize
aggregated,verb,unitize
aging,noun,mellowing|catabiosis
aging,verb,dote;fossilize;turn
agitated,verb,rumpus|bother;electrify;hype up;pother|concuss;convulse;convulse;fan;fluff up;jiggle;palpitate;rattle;sparge;succuss;tremble;tremor|beat;poke;roil;toss
agitating,verb,rumpus|bother;electrify;hype up;pother|concuss;convulse;convulse;fan;fluff up;jiggle;palpitate;rattle;sparge;succuss;tremble;tremor|beat;poke;roil;toss
agreed,verb,arrange;concede;conclude;reconcile;see eye to eye;settle;subscribe|assent;bargain;plea-bargain|adhere;align;answer;befit;coincide;consist;correlate;corroborate;harmonize;homologize;look;meet;parallel;pattern;resemble;rhyme;square;twin|blend|compromise;conclude
aided,verb,avail;benefact;bootstrap;care;expedite;facilitate;help out;serve;subserve;succor|benefit;bring around
ailing,verb,erupt
aired,verb,get on|interrogate;rerun;satellite;sportscast;telecast|air;bulletin;circulate;hype;publish
alarmed,verb,shock|wake
alarming,verb,shock|wake
alaskan,noun,alaska native
albanian,noun,gheg;tosk
alert,noun,air alert;red alert;strip alert|air alert;burglar alarm;fire alarm;foghorn;horn;red flag;siren;tocsin;torpedo
alert,verb,wake
